,PERMNO,TICKER,DLSTCD,bankrupt,date,year,quarter
12400,69649,RJF,100.0,0,2019-12-31,2019,4
12401,69650,SINC,233.0,0,1988-04-29,1988,2
12402,69657,BNC,505.0,0,1990-03-30,1990,1
12403,69665,RMI,241.0,0,1991-11-29,1991,4
12404,69666,SRCH,551.0,0,1987-02-27,1987,1
12405,69673,RR,584.0,0,1998-02-27,1998,1
12406,69674,STSB,233.0,0,1987-07-31,1987,3
12407,69681,XLA,584.0,0,2004-11-30,2004,4
12408,69682,SEWY,241.0,0,2000-08-31,2000,3
12409,69702,SWP,231.0,0,1996-12-31,1996,4
12410,69703,SNLB,560.0,0,1992-12-31,1992,4
12411,69710,TPO,231.0,0,1988-12-30,1988,4
12412,69711,SNCO,231.0,0,1985-12-31,1985,4
12413,69729,MGM,233.0,0,1990-11-30,1990,4
12414,69737,VTI,233.0,0,1988-07-29,1988,3
12415,69745,YRK,261.0,0,1988-12-30,1988,4
12416,69754,SAFE,233.0,0,1989-11-30,1989,4
12417,69761,BCS,100.0,0,2019-12-31,2019,4
12418,69762,SECB,231.0,0,1992-04-30,1992,2
12419,69788,CII,231.0,0,1989-11-30,1989,4
12420,69796,STZ,100.0,0,2019-12-31,2019,4
12421,69809,CHS,552.0,0,2000-09-29,2000,3
12422,69825,CMR,233.0,0,1992-06-30,1992,2
12423,69826,SLIC,233.0,0,1985-01-31,1985,1
12424,69868,KCS,584.0,0,1992-03-31,1992,1
12425,69877,STAG,231.0,0,1993-06-30,1993,2
12426,69884,HS,233.0,0,1991-04-30,1991,2
12427,69885,SEEQ,231.0,0,1999-06-30,1999,2
12428,69892,GG,241.0,0,2019-04-30,2019,2
12429,69905,GG,231.0,0,2000-10-31,2000,4
12430,69906,SBIG,552.0,0,2000-11-30,2000,4
12431,69913,DVH,574.0,1,1991-11-29,1991,4
12432,69921,ABR,231.0,0,1997-12-31,1997,4
